iso2,year,avg_generality,avg_originality,avg_radicalness,avg_quality_index_4,avg_quality_index_6,breakthrough_count,patent_count,pct_breakthrough,iso3c,ipp_index_IP_transformed,Country Name.x,CM.MKT.LCAP.GD.ZS,Code,bank_credit_gdp,FS.AST.PRVT.GD.ZS,market_cap_gdp,country,VC_investment,Country Name.y,patent_applications_residents,Country Name,rd_expenditure_percent_gdp,trade_percent_gdp,gdp_pc_const2015usd,tertiary_enrollment_percent,researchers_per_million,population_total,researchers_total,patents_per_1000_researchers,quality_index_100,VC_investment_pct,ln_patents,ln_gdp_pc,ln_bank,ln_market,ln_vc,ln_trade,ln_rd,ln_tertiary,ipr_c,ln_bank_x_ipr,ln_market_x_ipr,ln_vc_x_ipr
AN,1978,,0.428888888888889,0.333333333333334,0.269720695207952,0.34349342980865,0,2,0,ANT,,,,,,,,,,,,,,,,,,,,,26.9720695207952,,,,,,,,,,,,,
AN,1979,0.18,0.423655011594691,0.177212166918049,0.271757902860844,0.310285037304854,0,8,0,ANT,,,,,,,,,,,,,,,,,,,,,27.1757902860844,,,,,,,,,,,,,
AN,1980,0.1843820861678,0.523016031670462,0.163563128955286,0.359877544764601,0.385400858352924,0,15,0,ANT,,,,,,,,,,,,,,,,,,,,,35.9877544764601,,,,,,,,,,,,,
AN,1981,0.28801236923014,0.580794394987571,0.232872430917828,0.313332983761233,0.3621049890358,1,13,0.0769230769230769,ANT,,,,,,,,,,,,,,,,,,,,,31.3332983761233,,,,,,,,,,,,,
AN,1982,0.38343253968254,0.505230620020182,0.315605869280657,0.234083562883913,0.300925305416419,0,17,0,ANT,,,,,,,,,,,,,,,,,,,,,23.4083562883913,,,,,,,,,,,,,
AN,1983,0.186846925131971,0.625319265954624,0.239633900078546,0.282077300156102,0.343056865241854,0,20,0,ANT,,,,,,,,,,,,,,,,,,,,,28.2077300156102,,,,,,,,,,,,,
AN,1984,0.346005447997286,0.658452585346936,0.194868601699513,0.319842500078317,0.352411662027474,0,48,0,ANT,,,,,,,,,,,,,,,,,,,,,31.9842500078317,,,,,,,,,,,,,
AN,1985,0.403215026270851,0.6723061489741,0.243107975485653,0.297722898226147,0.347489946511115,1,29,0.0344827586206897,ANT,,,,,,,,,,,,,,,,,,,,,29.7722898226147,,,,,,,,,,,,,
AN,1986,0.241474599188811,0.658592646619491,0.247338836448837,0.308319669114279,0.342671720067761,0,35,0,ANT,,,,,,,,,,,,,,,,,,,,,30.8319669114279,,,,,,,,,,,,,
AN,1987,0.297970538416877,0.646802784967804,0.256324810968179,0.276084777464575,0.335820975504073,0,59,0,ANT,,,,,,,,,,,,,,,,,,,,,27.6084777464575,,,,,,,,,,,,,
