iso2,year,avg_quality_index_4,avg_quality_index_6,breakthrough_count,patent_count,pct_breakthrough,iso3c,ipp_index_IP_transformed,Code,bank_credit_gdp,market_cap_gdp,country,VC_investment,patent_applications_residents,Country Name,rd_expenditure_percent_gdp,trade_percent_gdp,gdp_pc_const2015usd,tertiary_enrollment_percent,population_total,patents_per_capita,quality_index_100,VC_investment_pct,ln_patents_pc,ln_gdp_pc,ln_bank,ln_market,ln_vc,ln_trade,ln_rd,ln_tertiary,ipr_c,ln_bank_c,ln_market_c,ln_vc_c,ln_bank_x_ipr,ln_market_x_ipr,ln_vc_x_ipr
AN,1978,0.269720695207952,0.34349342980865,0,2,0,ANT,,,,,,,,,,,,,,,26.9720695207952,,,,,,,,,,,,,,,,
AN,1979,0.271757902860844,0.310285037304854,0,8,0,ANT,,,,,,,,,,,,,,,27.1757902860844,,,,,,,,,,,,,,,,
AN,1980,0.359877544764601,0.385400858352924,0,15,0,ANT,,,,,,,,,,,,,,,35.9877544764601,,,,,,,,,,,,,,,,
AN,1981,0.313332983761233,0.3621049890358,1,13,0.0769230769230769,ANT,,,,,,,,,,,,,,,31.3332983761233,,,,,,,,,,,,,,,,
AN,1982,0.234083562883913,0.300925305416419,0,17,0,ANT,,,,,,,,,,,,,,,23.4083562883913,,,,,,,,,,,,,,,,
AN,1983,0.282077300156102,0.343056865241854,0,20,0,ANT,,,,,,,,,,,,,,,28.2077300156102,,,,,,,,,,,,,,,,
AN,1984,0.319842500078317,0.352411662027474,0,48,0,ANT,,,,,,,,,,,,,,,31.9842500078317,,,,,,,,,,,,,,,,
AN,1985,0.297722898226147,0.347489946511115,1,29,0.0344827586206897,ANT,,,,,,,,,,,,,,,29.7722898226147,,,,,,,,,,,,,,,,
AN,1986,0.308319669114279,0.342671720067761,0,35,0,ANT,,,,,,,,,,,,,,,30.8319669114279,,,,,,,,,,,,,,,,
AN,1987,0.276084777464575,0.335820975504073,0,59,0,ANT,,,,,,,,,,,,,,,27.6084777464575,,,,,,,,,,,,,,,,
AN,1988,0.290845254419033,0.348194871232058,0,32,0,ANT,,,,,,,,,,,,,,,29.0845254419033,,,,,,,,,,,,,,,,
AN,1989,0.315244461608884,0.363091835052515,0,50,0,ANT,,,,,,,,,,,,,,,31.5244461608884,,,,,,,,,,,,,,,,
